occupation_code,occupation_name,manual,agri
7212,welders and flame-cutters,T,F
7213,sheet-metal workers,T,F
7214,structural metal prepares and erector,T,F
7215,riggers and cable splices,T,F
7216,under-water workers,T,F
7221,"blacksmiths, hammersmith's, forging-press workers",T,F
7222,"tool maker, metal patter makers and metal makers",T,F
7223,machine tool setter operators,T,F
7224,"metal grinder, polishers and tool sharpeners",T,F
7231,motor vehicle mechanics and filters,T,F
7232,air craft engine mechanics and fitters,F,F
7241,electrical mechanics and fitters,T,F
7242,electronic fitters and services,T,F
7243,radio and television service,T,F
7244,telegraph and telephone installers,T,F
7245,electrical line installers repairs & cable jointers,T,F
7311,precision instrument makers repairs,T,F
7312,acoustical musical instrument,T,F
7313,jewelry and precious metal trade workers,T,F
7321,potters and related clay and abrasive formers,T,F
7322,"glass formers, cutters grinder and finishers",T,F
7323,glass engrave and etchers,T,F
7324,glass and ceramic painters and decorators,T,F
7331,handicraft workers in wood and related materials,T,F
7332,"handicraft workers in textile, leather and related materials",T,F
7341,compositors and type setters,T,F
7342,stereotypes and electrotypers,T,F
7344,bookbinders and related workers,T,F
7345,"silk screen, block and textile printers",T,F
7411,meat and fish butchers and preparers,T,T
7412,"bakers, pastry cooks and confectionery makers",T,T
7413,food beverage testers and graders,T,T
7414,tobacco preparers and tobacco products markers,T,T
7421,wood treaters,T,T
7422,cabinet makers & related workers,T,F
7423,wood working machine setter operators,T,F
7424,"basketry weavers, brush markers and related workers",T,F
7431,fibre preaparers,T,F
7432,"weavers, knitters and other hand textile products makers",T,F
7433,"tailors, dress makers and hatters",T,F
7434,fur tailor and related workers,T,F
7435,textile patternmakers and cutters,T,F
7436,"sewers, embroiderers and related workers",T,F
7437,upholsterers and related workers,T,F
7441,"pelt dressers, tanners and fell mongers",T,F
7442,shoe makers and related good workers,T,F
8111,mining plant operators,T,F
8112,mineral ore and stone-treating plant operators,T,F
8113,well drillers and borers and related workers,T,F
8121,ore smelting metal converting and refining furnace operators,T,F
8122,"metal melters, casters and rolling-mill operators",T,F
8123,metal heat - treating plant operators,T,F
8124,metal drawers and extruders,T,F
8131,glass and ceramic kiln operators,T,F
8132,other glass & ceramic plant operators,T,F
8141,"sawmill, wood panel and related wood-processing plant operat",T,F
8142,paper pulp preparation plant operators,T,F
8143,paper making plant operators,T,F
8151,crushing mixing & grinding equipment operators,T,F
8152,"cooking, roosting & related heat - treating plant operators",T,F
8153,filtering and separating equipment operators,T,F
8154,still reactor operators,T,F
8155,petroleum refining plant operators,T,F
8159,other chemical-processing plant operators,T,F
8161,power-generating plant operators,T,F
8162,"steam turbine, boiler & engine operators",T,F
8169,other power generating & related operators,T,F
8171,automated assembly-line operators,T,F
8172,industrial robot operators,T,F
8221,pharmaceutical & toiletry products machine operators,T,F
8222,ammunition and explosive products machine operators,T,F
8223,"metal finishers, plasters and coaters",T,F
8224,photographic products machine operators,T,F
8229,other chemical products machine operators,T,F
8231,type making & vulcanizing machine operators,T,F
8239,other rubber and plastics machine operators,T,F
8240,wood products machine operators,T,F
8251,printing machine operators,T,F
8252,binding machine operators,T,F
8253,paper and paperboard product machine operators,T,F
8261,spinning and winding machine operators,T,F
8262,weaving  and knitting machine operators,T,F
8263,sewing and knitting machine operators,T,F
8264,"textile bleaching, dyeing & cleaning machine operators",T,F
8269,other textile product machine operators,T,F
8271,meat & fish processing machine operators,T,T
8272,dairy products machine operators,T,T
8275,baked goods producing & cereals processing machine operators,T,T
8276,sugar processing and refining machine operators,T,T
8277,tea coffee cocoa & chocolate preparing & producing machine o,T,T
8278,tobacco products processing machine operators,T,T
8279,"brewers, wine & other beverage machine operators",T,T
8282,electrical machinery assemblers,T,F
8284,"metal, rubber & plastic products assemblers",T,F
8285,wood related materials products assemblers,T,F
8290,other stationery machine operators & assemblers,T,F
8311,railway engine driver,T,F
8312,"railway barkers, signalers & shutters",T,F
8321,motorcycle drivers,T,F
8322,"cart, taxi & light van drivers",T,F
8323,bus & train drivers,T,F
8324,heavy truck drivrs,T,F
8331,motorized farm & forestry machinery operators,T,T
8332,earth-moving & related machinery operators,T,F
8333,"crane, hoist & related material moving equipment operators",T,F
8334,lifting -truck operators,T,F
8340,ship's deck crews & related workers,T,F
9111,street foods vendors,T,F
9112,"street vendors, other products",T,F
9113,door-to-door & telephone sales persons,T,F
9120,shoe cleaning & other street services,T,F
9131,domestice helpers and cleaners,T,F
9132,helpers and cleaners in offices & hotels & related workers,T,F
9133,hand launderers and pressers,T,F
9141,building caretakers,T,F
9142,windows cleaners,T,F
9151,messengers package & luggage,T,F
9152,watchers and doorkeepers,T,F
9153,private security guards,T,F
9154,vending machine money collectors and meter readers,T,F
9161,garbage collectors,T,F
9162,sweepers and related labourers,T,F
9211,farmland & labourers,T,T
9212,forestry labourers,T,T
9213,"fishery, hunting & tapping labourers",T,T
9311,mining & related labourers,T,F
9312,"construction & maintenance labourers road, dams & similar co",T,F
9321,assembling labourers,T,F
9322,hand packers and other manufacturing labourers,T,F
9331,freight handlers,T,F
9332,hand and pedal vehicle drivers,T,F
9333,drivers and operators of animal-drawn vehicles and machinery,T,F
