sno,occupation,occup_code
135,Other Government Associate Professionals ,3449
136,Social Work Associate Professionals ,3450
137,Decorators & Commercial Designers ,3461
138,"Radio, Television & Other Announcers ",3462
139,"Street, NightClub & Related Musicians, Singers & Dancers ",3463
140,"Clowns, Magicians, Acrobats & Related Workers ",3464
141,Athletes & Related Workers ,3465
142,Non-Ordained Religion Associate Professionals ,3470
143,Statistical & Finance Clerks ,4122
144,Stock Clerks ,4131
145,Production Clerks ,4132
146,Transport Clerks ,4133
147,Library & Filling Clerks ,4141
148,Mail Carriers & Sorting Clerks ,4142
149,"Coding, Proof-Reading & Related Clerks ",4143
150,Scribes ,4144
151,Flight Attendants & Travel Stewards ,5111
152,Transport Conductors ,5112
153,Travel Guides and Ground Hosts ,5113
154,House Stewards and House Keepers ,5121
155,Waiters and Banenders ,5122
156,Institution-based Personal Care Workers ,5131
157,Home-Based Personal Care Workers ,5133
158,Other Personal Care Workers ,5139
159,"Hairdressers, Barbers, Beauticians & Related Workers ",5141
160,Companions and Valets ,5142
161,Undertakers and Embalmers ,5143
162,Other Personal Services Workers not Elsewhere Classified ,5149
163,Fashion and Other Models ,5210
164,Shop Sales Persons & Demonstrators ,5220
165,Stall and Market Salespersons ,5230
166,Field Crops & Vegetable Growers ,6111
167,Tree Shrub Crop Growers ,6112
168,"Gardeners, Horticultural; Nursery Growers ",6113
169,Mixed Crop Growers ,6114
170,Dairy & Livestock Producers ,6121
171,Poultry Products ,6122
172,Mixed Animal Producers ,6123
173,Market Oriented Crop & Animal Producers ,6130
174,Forestry Worker and Loggers ,6141
175,Charcoal Burners & Related Workers ,6142
176,Aquatic Liege Cultivation Workers ,6151
177,Inland & Coastal Waters Fishery Workers ,6152
178,Deep-Sea Fishery Workers ,6153
179,Hunters and Trappers ,6154
180,Subsistence Agricultural and Fishery Workers ,6210
181,Miners & Quarry Workers ,7111
182,Short Fires and Blasters ,7112
183,"Stone-Splitters, Cutters and Carvers ",7113
184,Builders Traditional Materials ,7121
185,"Bricklayers, Stonemason & Tile Setters ",7122
186,"Concrete Placers, Concrete Finishers and Terrazzo-Workers ",7123
187,Carpenter and Jointers ,7124
188,Other Building Frames and Related Workers ,7129
189,Roofers ,7131
190,Plasterers ,7132
191,Insulators ,7133
192,Glaziers ,7134
193,Plumbers and Pipe Fitters ,7135
194,Building and Related Electricians ,7136
195,Painters and Paperhangers ,7141
196,Metal Moulds and Core Makers ,7211
197,Welders and Flame-Cutters ,7212
198,Sheet-Metal Workers ,7213
199,Structural Metal Prepares and Erector ,7214
200,Riggers and Cable Splices ,7215
201,Under-Water Workers ,7216
202,"Blacksmiths, Hammersmith's, Forging-Press Workers ",7221
203,"Tool Maker, Metal Patter Makers and Metal Makers ",7222
204,Machine Tool Setter Operators ,7223
205,"Metal Grinder, Polishers and Tool Sharpeners ",7224
206,Motor Vehicle Mechanics and Filters ,7231
207,Air Craft Engine Mechanics and Fitters ,7232
208,Electrical Mechanics and Fitters ,7241
209,Electronic Fitters and Services ,7242
210,Radio and Television Service ,7243
211,Telegraph and Telephone Installers ,7244
212,Electrical Line Installers Repairs & Cable Jointers ,7245
213,Precision Instrument Makers Repairs ,7311
214,Acoustical Musical Instrument ,7312
215,Jewelry and Precious metal Trade Workers ,7313
216,Potters and Related Clay and Abrasive Formers ,7321
217,"Glass Formers, Cutters Grinder and Finishers ",7322
218,Glass Engrave and Etchers ,7323
219,Glass and Ceramic Painters and Decorators ,7324
220,Handicraft Workers in Wood and Related Materials ,7331
221,"Handicraft Workers in Textile, Leather and Related Materials ",7332
222,Compositors and Type Setters ,7341
223,Stereotypes and Electrotypers ,7342
224,Bookbinders and Related Workers ,7344
225,"Silk Screen, Block and Textile Printers ",7345
226,Meat and Fish Butchers and Preparers ,7411
227,"Bakers, Pastry Cooks and Confectionery Makers ",7412
228,Food Beverage Testers and Graders ,7413
229,Tobacco Preparers and Tobacco Products Markers ,7414
230,Wood Treaters ,7421
231,Cabinet Makers & Related Workers ,7422
232,Wood Working Machine Setter Operators ,7423
233,"Basketry Weavers, Brush Markers and Related Workers ",7424
234,Fibre Preaparers ,7431
235,"Weavers, Knitters and Other Hand Textile Products Makers ",7432
236,"Tailors, Dress Makers and Hatters ",7433
237,Fur Tailor and Related Workers ,7434
238,Textile Patternmakers and Cutters ,7435
239,"Sewers, Embroiderers and Related Workers ",7436
240,Upholsterers and Related Workers ,7437
241,"Pelt Dressers, Tanners and Fell mongers ",7441
242,Shoe Makers and Related Good Workers ,7442
243,Mining plant Operators ,8111
244,Mineral Ore and Stone-Treating Plant Operators ,8112
245,Well Drillers and Borers and Related Workers ,8113
246,Ore Smelting Metal Converting and Refining Furnace Operators ,8121
247,"Metal Melters, Casters and Rolling-mill Operators ",8122
248,Metal Heat - Treating Plant Operators ,8123
249,Metal Drawers and Extruders ,8124
250,Glass and Ceramic Kiln Operators ,8131
251,Other Glass & Ceramic Plant Operators ,8132
252,"Sawmill, Wood Panel and Related Wood-Processing Plant Operators ",8141
253,Paper Pulp Preparation Plant Operators ,8142
254,Paper Making Plant Operators ,8143
255,Crushing Mixing & Grinding Equipment Operators ,8151
256,"Cooking, Roosting & Related Heat - Treating Plant Operators ",8152
257,Filtering and Separating Equipment Operators ,8153
258,Still Reactor Operators ,8154
259,Petroleum Refining Plant Operators ,8155
260,Other Chemical-Processing Plant Operators ,8159
261,Power-Generating Plant Operators ,8161
262,"Steam Turbine, Boiler & Engine Operators ",8162
263,Other Power Generating & Related Operators ,8169
264,Automated Assembly-Line Operators ,8171
265,Industrial Robot Operators ,8172
266,Cement and Other Mineral Processing Machine Operators ,812
267,Pharmaceutical & Toiletry Products Machine Operators ,8221
268,Ammunition and Explosive Products Machine Operators ,8222
269,"Metal Finishers, Plasters and Coaters ",8223
270,Photographic Products Machine Operators ,8224
271,Other Chemical Products Machine Operators ,8229
272,Type Making & Vulcanizing Machine Operators ,8231
273,Other Rubber and Plastics Machine Operators ,8239
274,Wood Products Machine Operators ,8240
275,Printing Machine Operators ,8251
276,Binding Machine Operators ,8252
277,Paper and Paperboard Product Machine Operators ,8253
278,Spinning and Winding Machine Operators ,8261
279,Weaving and Knitting Machine Operators ,8262
280,Sewing and Knitting Machine Operators ,8263
281,"Textile Bleaching, Dyeing & Cleaning Machine Operators ",8264
282,Other Textile Product Machine Operators ,8269
283,Meat & Fish Processing Machine Operators ,8271
284,Dairy Products Machine Operators ,8272
285,Baked Goods Producing & Cereals Processing Machine Operators ,8275
286,Sugar Processing and Refining Machine Operators ,8276
287,Tea Coffee Cocoa & Chocolate Preparing & Producing machine Operators ,8277
288,Tobacco Products Processing Machine Operators ,8278
289,"Brewers, Wine & Other Beverage Machine Operators ",8279
290,Electrical Machinery Assemblers ,8282
291,"Metal, Rubber & Plastic Products Assemblers ",8284
292,Wood Related Materials Products Assemblers ,8285
293,Other Stationery Machine Operators & Assemblers ,8290
294,Railway Engine Driver ,8311
295,"Railway Barkers, Signalers & Shutters ",8312
296,Motorcycle Drivers ,8321
297,"Cart, Taxi & Light Van Drivers ",8322
298,Bus & Train Drivers ,8323
299,Heavy Truck Drivrs ,8324
300,Motorized Farm & Forestry Machinery Operators ,8331
301,Earth-Moving & Related Machinery Operators ,8332
302,"Crane, Hoist & Related Material Moving Equipment Operators ",8333
303,Lifting -Truck Operators ,8334
304,Ship's Deck Crews & Related Workers ,8340
305,Street Foods Vendors ,9111
306,"Street Vendors, Other Products ",9112
307,Door-to-Door & Telephone Sales Persons ,9113
308,Shoe Cleaning & Other Street Services ,9120
309,Domestice helpers and Cleaners ,9131
310,Helpers and Cleaners in Offices & Hotels & Related Workers ,9132
311,Hand Launderers and Pressers ,9133
312,Building Caretakers ,9141
313,Windows Cleaners ,9142
314,Messengers Package & Luggage ,9151
315,Watchers and Doorkeepers ,9152
316,Private Security Guards ,9153
317,Vending Machine Money Collectors and Meter Readers ,9154
318,Garbage Collectors ,9161
319,Sweepers and Related Labourers ,9162
320,Farmland & Labourers ,9211
321,Forestry Labourers ,9212
322,"Fishery, Hunting & Tapping Labourers ",9213
323,Mining & Related Labourers ,9311
324,"Construction & Maintenance Labourers Road, Dams & Similar Constructions ",9312
325,Building Construction Labourers ,313
326,Assembling Labourers ,9321
327,Hand Packers and Other Manufacturing Labourers ,9322
328,Freight Handlers ,9331
329,Hand and Pedal Vehicle Drivers ,9332
330,Drivers and Operators of Animal-Drawn Vehicles and Machinery ,9333
331,Manufacturing Assistant ,9412
