ucc,uccname
220510,capitalimprovements_commodities
220610,capitalimprovements_services
220900,parking_owneddwelling
230000,repair_maintenance_improvements
230110,propertymaintenance
230120,installedhardsurfaceflooring
230130,installedwalltowallcarpet
230140,repairdisposal_dishwasher_rangehood
230900,maintenancefeesassociation
240110,paint_wallpapersupplies
240120,paintingequipment
240210,paneling
240220,masonrymaterials
240310,plumbingfixtures
240320,electricheatingairconditioning
240900,softsurfacefloorcovering
250110,fueloil
250210,bottledortankgas
250220,coal
250900,miscfuels
260110,electricity
260210,utility_naturalgas
270000,telephoneservice
270210,waterseweragemaintenance
270310,cable_satellite
270410,trashcollection
270900,septictankcleaning
270905,steamheat
280110,bathroomlinens
280120,bedroomlinens
280130,kitchendiningroomlinens
280210,curtainsdrapes_exshower
280220,coverscushions
280230,slipcovers_curtains_sewingmaterial
280900,linens_other
290110,mattress
290120,bedroomfurniture_other
290210,sofas
290310,livingroomchairs
290320,livingroomtables
290410,kitchendiningroomfurniture
290420,infantsfurniture
290430,patiofurniture
290440,shelvesfurniture
300110,refrigerator
300210,washers
300220,dryers
300310,stoves_ovens
300320,microwave
300330,dishwasher_portable
300410,windowairconditioners
300900,mischouseholdappliances
310110,tv_bw
310120,colortv
310130,colortv_portable
310210,videoplayers
310220,disktapemedia
310230,consolesupplies
310311,radio_nonvehicle
310312,recordplayer
310313,taperecorder
310320,soundcomponents
310331,miscsoundequipment
310332,soundequipmentaccessories
310334,satellitedishes
310340,records_tapes
310900,electronicequipment
320110,roomsizerugs
320120,venetianblinds
320130,infantsequipment
320140,laundrycleaningequipment
320150,outdoorequipment
320210,clocks
320220,lampslightingfixtures
320231,householddecorativeitems_other
320232,telephone
320310,dinnerware_plastic
320320,dinnerware_china
320330,tableware
320340,glassware
320350,servingpieces_silver
320360,servingpieces_nonsilver
320370,cookware_nonelectric
320380,tableware_nonelectrickitchenware
320410,lawnmowingequipment
320420,powertools
320430,otherhardware
320511,electricfloorcleaningequipment
320512,sewingmachines
320521,electricalkitchenappliances_small
320522,portableheatingcoolingequipment
320610,miscsequipmentsupplies
320620,permanenthardsurfacefloorcovering
320630,landscapingitems
320901,officefurnitureforhome
320902,tools_nonpowered
320903,pottedplants
320904,homestorage
320905,mischouseholdequipment
320906,electronictestingequipment
330110,soapsdetergents_exhandsoaps
330210,otherlaundrycleaningproducts
330310,papertowels
330410,stationery
330510,mischouseholdproducts
330610,gardensupplies
340110,postage
340120,deliveryservices
340210,homecareforchildren
340310,housekeepingservice
340410,gardeningservices
340510,movingstorage
340520,nonclothinghouseholdlaundry
340530,nonclothinghouseholdlaundry_coinoperated
340610,tvradioexcarfittedrepair
340620,householdappliancesrepair
340630,furniturerepair
340901,gardeningequipmentrepair
340903,mischomeservices
340904,furniturerental
340906,careforinvalids
340907,householdequipmentrental
340908,officeequipmentforhomerental
340909,tvradiosoundrental
340913,miscshouseholdequipmentrepair
350110,tenantsinsurance
360110,menssuits
360120,menssportjackets
360210,mensformaljackets
360311,mensunderwear
360312,menshosiery
360320,menssleepwear
360330,mensaccessories
360340,menssweater
360350,mensactivesportswear
360410,mensshirts
360511,menspants
360512,mensshorts_exathletic
360901,mensuniforms
370110,boyscoatsjackets
370120,boyssweaters
370130,boysshirts
370211,boysunderwear
370212,boyssleepwear
370213,boyshosiery
370220,boysaccessories
370311,boyssuitssportcoats
370312,boyspants
370313,boysshortsexcathletic
370901,boysuniformsactivesportswear
380110,womenscoats
380210,womensdresses
380311,womenssportcoats
380312,womenssweaters
380313,womensshirts
380320,womensskirts
380331,womenspants
380332,womensshorts_exathletic
380340,womensactivesportswear
380410,womenssleepwear
380420,womensundergarments
380430,womenshosiery
380510,womenssuits
380901,womensaccessories
380902,womensuniforms
390110,girlscoatsjackets
390120,girlsdressessuits
390210,girlssportcoats
390221,girlsskirtspants
390222,girlsshortsexathletic
390230,girlsactivesportswear
390310,girlsundergarments
390321,girlshosiery
390322,girlsaccessories
390901,girlsuniforms
400110,mensfootwear
400210,boysfootwear
400220,girlsfootwear
400310,womensfootwear
410110,infantscoats
410120,infantsdresses
410130,infantsundergarments
410140,infantssleepingwear
410901,infantsaccessories
420110,sewingmaterial_clothes
420120,sewingpatterns
430110,watches
430120,jewelry
430130,travelitems
440110,shoerepair
440120,apparelcleaning_coinoperated
440130,clothes_repair
440140,clothing_rental
440150,watchjewelryrepair
440210,apparell_notcoinoperated
440900,clothingstorage
450110,newcars
450210,newtrucks
450220,newmotorcycles
450310,carlease
450410,trucklease
460110,usedcars
460901,usedtrucks
460902,usedmotorcycles
460903,usedaircraft
470111,gasoline
470112,dieselfuel
470114,gasohol
470211,motoroil
470220,coolant
480110,tires
480212,vehicleproducts
480213,carequipment
480214,vehicleaudioequipment_excludinglabor
490000,miscsautorepair
490110,carbodyworkholstery
490211,transmissionrepair
490212,driveshaftrepair
490220,brakework
490231,steeringrepair
490232,coolingrepair
490311,motortuneup
490312,oilchange
490313,caralignment
490314,shockabsorberreplacement
490315,brakeadjustment
490316,gastankrepairreplacement
490411,exhaustsystemrepair
490412,electricalsystemrepair
490413,motorrepair
500110,vehicleinsurance
520111,vehicleregistration_state
520112,vehicleregistration_local
520310,driverslicense
520410,vehicleinspection
520511,autorental_extrips
520521,truckrental_extrips
520531,parkingfeesy
520541,tolls
520550,towingcharges
520901,boatsplansdockinglandingfees
520902,motorcyclerentals
520903,aircraftrentals
520904,noncampertypetrailerrentals
530110,airlinefares
530210,intercitybusfares
530311,intracitymasstransitfares
530412,taxifares
530510,intercitytrainfares
530901,shipfares
530902,privateschoolbus
530903,carpoolnonmotortransportation
540000,prescriptiondrugs
550110,eyeglassesorcontactlenses
550210,overthecounterdrugs
550310,cottonballs
550320,medicalequipment
550330,supportivemedicalequipment
550340,hearingaids
550410,nonprescriptionvitamins
550900,recreationaldrugs
560110,physiciansservices
560210,dentalservices
560310,eyeexams
560330,labtests
560400,nonphysicalmedicalservices
570000,hospitalcare_notspecified
570220,carenursinghome
570230,medicalcare_other
570901,medicalequipmentrentals
570902,medicalequipmentrepair
570903,supportiveequipmentrepair
580000,healthinsurance_nonspecified
580110,healthinsurance_commercial
580210,bluecross
580310,healthmaintenanceplans
580901,medicarepayments
590110,newspapers
590210,magazinesperiodicals
590220,books_bookclubs
590230,books_exbookclubs
590900,newsletters
600110,outboardmotor
600120,unpoweredboatstrailers
600130,poweredsportsvehicles
600210,recsportstables
600310,bicycles
600410,campingequipment
600420,huntingfishingequipment
600430,wintersportsequipment
600900,miscsportsequipment
610110,batterypoweredriders
610120,playgroundequipment
610130,musicalinstruments
610210,film
610220,photographicsupplies_exfilm
610230,photographicequipment
610310,petfood
610320,petsupplies_nonfood
610901,fireworks
610902,souvenirs
610903,visualgoods
620111,clubmembershipfees
620112,creditcardmembershipsfees
620113,automobileserviceclubsfees
620121,sportsclubmembershipfees
620211,entertainmentvenuemembershipfees
620221,sportingeventsmembershipfees
620310,recreationallessonsfees
620320,photographerfees
620330,filmprocessing
620410,petservices
620420,veterinarian
620510,miscadmissionsfees
620610,miscentertainmentservices
620710,campfees
620810,sportphotopgraphicmusicequipmentrentalrepairs
620912,videotape_rentals
620913,videogames_coinoperated
620915,sportvehiclerental
620925,lotterieslosses
620926,miscfees
630110,cigarettes
630210,tobacco_other
630220,smokingaccessories
630900,marijuana
640110,haircareproducts
640120,nonelectrichairequipment
640130,wigshairpieces
640210,oralhygieneproducts
640220,shavingneeds
640310,cosmetics
640410,miscpersonalcare
640420,electricalpersonalcareequipment
650110,femalepersonalcareservices
650210,malepersonalcareservices
650900,personalcareappliancesrentalrepair
660000,schoolsupplies
660110,schoolbooks_college
660210,schoolbooks_highschoolelementary
660310,referencebooks
660900,schoolbooksnurseryschool
670110,tuition_college
670210,tuition_highschoolelementary
670310,schoolsexpense_other
670901,tuition_otherschool
670902,booksequipmentrental
680110,legalfees
680140,funeralexpenses
680210,safedepositboxrental
680220,bankingservicesfees
680901,cemeterylotsmaintenance
680902,accountingfees
680903,miscpersonalservices
690110,computersfornonbusinessuse
690114,computerinformationservices
690210,telephoneansweringdevices
690220,calculators
690230,typewritersnonbusiness
999000,homeownershipexpensenotspecified
999900,taxesnotspecified
